product_id,warehouse,stock_level,reorder_point,last_updated
1,WH_A,54,117,2023-01-19
2,WH_A,242,76,2023-01-13
3,WH_A,31,93,2023-01-26
4,WH_C,153,65,2023-01-04
5,WH_C,23,94,2023-01-25
6,WH_B,293,148,2023-01-04
7,WH_B,343,108,2023-01-20
8,WH_A,100,133,2023-01-21
9,WH_B,249,105,2023-01-08
10,WH_A,130,82,2023-01-25
11,WH_B,344,107,2023-01-26
12,WH_A,399,78,2023-01-02
13,WH_B,289,53,2023-01-23
14,WH_A,282,70,2023-01-24
15,WH_C,447,67,2023-01-29
16,WH_A,385,65,2023-01-25
17,WH_A,439,101,2023-01-30
18,WH_B,505,90,2023-01-19
19,WH_B,53,72,2023-01-30
20,WH_A,231,109,2023-01-24
21,WH_C,423,78,2023-01-06
22,WH_C,183,133,2023-01-04
23,WH_A,374,102,2023-01-24
24,WH_A,245,59,2023-01-10
25,WH_A,438,113,2023-01-26
26,WH_B,412,117,2023-01-19
27,WH_C,431,116,2023-01-03
28,WH_A,11,101,2023-01-15
29,WH_C,416,145,2023-01-06
30,WH_A,108,60,2023-01-23
31,WH_A,97,51,2023-01-05
32,WH_C,746,75,2023-01-04
33,WH_B,246,51,2023-01-07
34,WH_B,158,138,2023-01-23
35,WH_B,332,111,2023-01-27
36,WH_A,465,61,2023-01-24
37,WH_A,80,54,2023-01-25
38,WH_A,275,57,2023-01-28
39,WH_B,183,84,2023-01-13
40,WH_C,363,130,2023-01-27
41,WH_B,442,110,2023-01-23
42,WH_A,145,93,2023-01-23
43,WH_B,55,101,2023-01-18
44,WH_B,248,100,2023-01-21
45,WH_B,467,88,2023-01-03
46,WH_C,131,102,2023-01-07
47,WH_A,248,119,2023-01-24
48,WH_C,119,139,2023-01-13
49,WH_A,321,51,2023-01-11
50,WH_C,6,51,2023-01-10
51,WH_C,439,121,2023-01-19
52,WH_B,302,146,2023-01-15
53,WH_B,16,78,2023-01-13
54,WH_C,187,107,2023-01-01
55,WH_B,133,69,2023-01-16
56,WH_C,29,79,2023-01-14
57,WH_C,180,80,2023-01-25
58,WH_C,385,84,2023-01-25
60,WH_B,131,111,2023-01-28
61,WH_B,461,131,2023-01-19
63,WH_B,152,55,2023-01-19
64,WH_C,465,133,2023-01-11
65,WH_B,168,140,2023-01-06
66,WH_A,436,80,2023-01-28
67,WH_C,424,126,2023-01-07
68,WH_A,154,100,2023-01-20
69,WH_C,494,72,2023-01-18
70,WH_A,370,54,2023-01-14
71,WH_A,429,77,2023-01-30
72,WH_B,6,50,2023-01-02
73,WH_B,231,124,2023-01-09
74,WH_A,660,74,2023-01-28
75,WH_A,427,132,2023-01-05
76,WH_B,439,110,2023-01-28
77,WH_B,25,82,2023-01-02
78,WH_B,182,103,2023-01-09
79,WH_C,88,124,2023-01-31
80,WH_A,300,69,2023-01-20
81,WH_C,462,145,2023-01-22
82,WH_B,231,77,2023-01-28
83,WH_A,357,74,2023-01-24
84,WH_B,92,82,2023-01-28
85,WH_A,112,102,2023-01-05
86,WH_A,78,83,2023-01-26
87,WH_B,32,75,2023-01-12
88,WH_A,159,136,2023-01-09
89,WH_B,136,144,2023-01-05
90,WH_C,229,67,2023-01-31
91,WH_C,4,94,2023-01-09
92,WH_C,399,115,2023-01-12
93,WH_A,341,136,2023-01-28
94,WH_C,316,145,2023-01-18
95,WH_B,198,149,2023-01-10
96,WH_A,78,97,2023-01-06
97,WH_A,489,53,2023-01-04
98,WH_C,102,83,2023-01-26
99,WH_A,108,57,2023-01-22
100,WH_B,354,82,2023-01-05
101,WH_C,157,61,2023-01-23
102,WH_C,385,82,2023-01-18
103,WH_A,364,94,2023-01-06
104,WH_A,54,102,2023-01-31
105,WH_C,193,91,2023-01-01
106,WH_C,29,95,2023-01-09
107,WH_A,310,121,2023-01-14
108,WH_B,2,137,2023-01-11
109,WH_A,66,88,2023-01-25
110,WH_A,179,145,2023-01-14
111,WH_A,300,109,2023-01-30
112,WH_A,496,86,2023-01-26
113,WH_A,372,130,2023-01-25
114,WH_B,7,58,2023-01-11
115,WH_C,39,61,2023-01-09
116,WH_B,171,98,2023-01-11
117,WH_A,2,90,2023-01-25
118,WH_C,430,63,2023-01-18
119,WH_B,471,125,2023-01-25
120,WH_A,409,69,2023-01-15
121,WH_C,361,52,2023-01-09
122,WH_A,446,125,2023-01-02
123,WH_C,111,90,2023-01-15
124,WH_B,34,110,2023-01-29
125,WH_B,350,122,2023-01-08
126,WH_C,328,103,2023-01-10
127,WH_B,257,125,2023-01-13
128,WH_A,480,80,2023-01-02
129,WH_A,73,81,2023-01-11
130,WH_B,172,59,2023-01-30
131,WH_C,416,115,2023-01-05
132,WH_B,168,130,2023-01-03
133,WH_C,121,139,2023-01-10
134,WH_B,193,129,2023-01-04
135,WH_A,266,118,2023-01-30
136,WH_C,312,144,2023-01-01
137,WH_A,125,122,2023-01-12
138,WH_A,13,64,2023-01-22
139,WH_C,448,128,2023-01-18
140,WH_A,69,141,2023-01-19
141,WH_A,81,98,2023-01-24
142,WH_C,409,113,2023-01-19
143,WH_C,354,75,2023-01-22
144,WH_A,269,124,2023-01-10
145,WH_B,86,146,2023-01-01
146,WH_A,19,54,2023-01-03
147,WH_B,105,82,2023-01-28
148,WH_C,90,119,2023-01-13
149,WH_C,249,63,2023-01-28
150,WH_A,412,60,2023-01-26
151,WH_A,447,63,2023-01-02
152,WH_B,205,131,2023-01-07
153,WH_C,294,145,2023-01-04
154,WH_B,418,50,2023-01-22
155,WH_C,320,148,2023-01-08
156,WH_A,90,72,2023-01-23
157,WH_A,143,113,2023-01-28
158,WH_B,279,114,2023-01-20
159,WH_A,384,112,2023-01-01
160,WH_C,267,143,2023-01-30
161,WH_C,260,63,2023-01-10
162,WH_B,301,115,2023-01-09
163,WH_C,220,128,2023-01-08
164,WH_A,235,90,2023-01-08
165,WH_A,429,86,2023-01-02
166,WH_A,465,61,2023-01-19
167,WH_B,335,142,2023-01-07
168,WH_A,186,56,2023-01-24
169,WH_A,170,133,2023-01-25
170,WH_C,415,117,2023-01-29
171,WH_B,96,69,2023-01-31
172,WH_C,15,132,2023-01-06
173,WH_C,7,93,2023-01-15
174,WH_C,492,146,2023-01-16
175,WH_A,403,109,2023-01-21
176,WH_C,201,106,2023-01-31
177,WH_C,301,101,2023-01-02
178,WH_C,95,113,2023-01-05
179,WH_C,87,143,2023-01-21
180,WH_A,257,121,2023-01-17
182,WH_C,468,79,2023-01-29
183,WH_B,337,146,2023-01-09
184,WH_A,325,138,2023-01-05
185,WH_B,201,106,2023-01-19
186,WH_C,345,70,2023-01-08
187,WH_B,332,89,2023-01-13
188,WH_B,136,123,2023-01-13
189,WH_B,289,141,2023-01-09
190,WH_C,183,132,2023-01-30
191,WH_A,86,133,2023-01-20
192,WH_C,179,63,2023-01-12
193,WH_C,59,53,2023-01-22
194,WH_A,150,88,2023-01-23
195,WH_B,219,54,2023-01-28
196,WH_C,51,51,2023-01-30
197,WH_C,21,110,2023-01-30
198,WH_A,81,131,2023-01-09
199,WH_B,299,118,2023-01-06
200,WH_A,579,55,2023-01-02
201,WH_C,352,85,2023-01-11
202,WH_B,332,115,2023-01-25
203,WH_B,11,94,2023-01-27
204,WH_A,128,83,2023-01-04
205,WH_C,267,68,2023-01-30
206,WH_C,405,99,2023-01-16
207,WH_C,346,92,2023-01-07
208,WH_B,312,123,2023-01-06
209,WH_C,438,77,2023-01-29
210,WH_A,293,82,2023-01-26
211,WH_C,310,51,2023-01-21
212,WH_C,390,54,2023-01-30
213,WH_A,259,116,2023-01-31
214,WH_B,266,52,2023-01-23
215,WH_B,414,149,2023-01-09
216,WH_C,445,56,2023-01-27
217,WH_B,486,124,2023-01-21
218,WH_C,109,70,2023-01-06
219,WH_B,449,55,2023-01-15
220,WH_C,246,70,2023-01-10
221,WH_B,266,78,2023-01-29
222,WH_A,308,139,2023-01-07
223,WH_C,392,145,2023-01-25
224,WH_C,56,55,2023-01-20
225,WH_C,466,91,2023-01-10
226,WH_B,250,93,2023-01-19
227,WH_A,137,92,2023-01-31
228,WH_C,296,72,2023-01-26
229,WH_A,295,88,2023-01-09
230,WH_A,364,105,2023-01-22
231,WH_A,140,53,2023-01-31
232,WH_A,464,129,2023-01-17
233,WH_A,148,104,2023-01-12
234,WH_C,361,77,2023-01-18
235,WH_B,399,146,2023-01-05
236,WH_B,334,51,2023-01-17
237,WH_A,218,77,2023-01-24
238,WH_A,249,103,2023-01-02
239,WH_A,151,114,2023-01-01
240,WH_A,293,66,2023-01-06
241,WH_B,418,119,2023-01-21
242,WH_C,68,89,2023-01-21
243,WH_C,304,132,2023-01-20
244,WH_C,156,71,2023-01-28
245,WH_A,335,103,2023-01-17
246,WH_C,349,77,2023-01-01
247,WH_A,94,57,2023-01-28
248,WH_C,411,93,2023-01-25
249,WH_B,289,127,2023-01-06
250,WH_C,124,117,2023-01-26
251,WH_C,204,136,2023-01-01
252,WH_C,257,61,2023-01-23
253,WH_C,159,128,2023-01-09
254,WH_C,176,99,2023-01-28
255,WH_A,121,113,2023-01-31
256,WH_C,246,74,2023-01-15
257,WH_A,414,78,2023-01-14
258,WH_C,305,90,2023-01-24
259,WH_B,314,74,2023-01-26
260,WH_B,123,94,2023-01-18
261,WH_C,230,111,2023-01-15
262,WH_A,230,123,2023-01-01
263,WH_C,236,84,2023-01-05
264,WH_C,172,118,2023-01-29
265,WH_C,450,113,2023-01-23
266,WH_A,142,56,2023-01-20
267,WH_C,377,70,2023-01-31
268,WH_B,244,84,2023-01-31
269,WH_A,210,131,2023-01-27
270,WH_B,277,115,2023-01-04
271,WH_A,185,61,2023-01-14
272,WH_B,93,113,2023-01-05
273,WH_B,124,91,2023-01-20
274,WH_B,215,130,2023-01-26
275,WH_A,320,73,2023-01-24
276,WH_B,40,103,2023-01-19
277,WH_C,462,117,2023-01-07
278,WH_A,495,74,2023-01-05
279,WH_A,383,70,2023-01-17
280,WH_B,434,149,2023-01-18
281,WH_B,325,125,2023-01-24
282,WH_C,10,51,2023-01-23
283,WH_C,109,134,2023-01-08
284,WH_A,706,108,2023-01-31
285,WH_C,486,125,2023-01-22
286,WH_C,496,146,2023-01-14
