order_id,customer_id,order_date,status,payment_method,region
1,4506,1/4/2023,Cancelled,Credit Card,Gulf
2,2881,7/18/2023,Completed,Cash,Levant
3,7248,12/17/2023,Completed,Cash,North Africa
4,5808,1/8/2024,Completed,PayPal,Gulf
5,6257,5/9/2023,Completed,Credit Card,North Africa
6,2671,3/14/2024,Completed,Cash,North Africa
7,6965,8/26/2024,Completed,Credit Card,North Africa
8,7305,12/11/2023,Completed,Bank Transfer,Levant
9,3717,7/20/2024,Completed,PayPal,Levant
10,4936,7/29/2023,Completed,Credit Card,North Africa
11,4285,10/9/2024,Completed,PayPal,Gulf
12,4373,6/19/2023,Completed,PayPal,Levant
13,5857,10/29/2024,Completed,Bank Transfer,North Africa
14,6247,4/7/2024,Cancelled,Bank Transfer,North Africa
15,2155,9/22/2024,Completed,Credit Card,North Africa
16,7743,5/14/2024,Completed,Bank Transfer,North Africa
17,6036,10/5/2023,Returned,Cash,Levant
18,6074,11/2/2023,Completed,PayPal,Levant
19,2805,12/25/2023,Returned,Cash,North Africa
20,2221,2/2/2024,Completed,Cash,Levant
21,3990,6/23/2023,Returned,,Levant
22,999,6/8/2023,Completed,Cash,Gulf
23,7499,6/27/2024,Completed,Bank Transfer,North Africa
24,722,11/4/2024,Completed,Bank Transfer,Gulf
25,1215,1/8/2023,Completed,Bank Transfer,Levant
26,1694,4/28/2023,Completed,Cash,Levant
27,6975,3/10/2024,Completed,PayPal,North Africa
28,6369,3/4/2024,Completed,Cash,Levant
29,5804,3/1/2023,Completed,Credit Card,Levant
30,3395,4/9/2023,Completed,Bank Transfer,Levant
31,4026,5/30/2023,Completed,Bank Transfer,North Africa
32,3580,9/17/2023,Completed,PayPal,North Africa
33,7716,11/8/2024,Completed,Credit Card,Levant
34,6278,11/27/2024,Completed,,Levant
35,5157,9/23/2024,Completed,Credit Card,Levant
36,6237,5/23/2023,Cancelled,Credit Card,Gulf
37,6219,6/7/2023,Completed,,Levant
38,2804,9/5/2023,Cancelled,PayPal,North Africa
39,2231,7/5/2024,Cancelled,Credit Card,Levant
40,4813,5/17/2024,Completed,PayPal,Levant
41,459,2/17/2024,Completed,,North Africa
42,7867,6/9/2024,Completed,Cash,Gulf
43,1702,11/8/2023,Completed,Credit Card,Levant
44,627,10/31/2023,Completed,Credit Card,North Africa
45,2457,9/6/2024,Completed,Credit Card,Levant
46,207,1/10/2023,Completed,Cash,Levant
47,3317,2/11/2023,Completed,PayPal,Levant
48,1357,2/5/2024,Completed,PayPal,North Africa
