order_id,customer_id,order_date,status,payment_method,region
1,4506,2023-01-04,Cancelled,Credit Card,Gulf
2,2881,2023-07-18,Completed,Cash,Levant
3,7248,2023-12-17,Completed,Cash,North Africa
4,5808,2024-01-08,Completed,PayPal,Gulf
5,6257,2023-05-09,Completed,Credit Card,North Africa
6,2671,2024-03-14,Completed,Cash,North Africa
7,6965,2024-08-26,Completed,Credit Card,North Africa
8,7305,2023-12-11,Completed,Bank Transfer,Levant
9,3717,2024-07-20,Completed,PayPal,Levant
10,4936,2023-07-29,Completed,Credit Card,North Africa
11,4285,2024-10-09,Completed,PayPal,Gulf
12,4373,2023-06-19,Completed,PayPal,Levant
13,5857,2024-10-29,Completed,Bank Transfer,North Africa
14,6247,2024-04-07,Cancelled,Bank Transfer,North Africa
15,2155,2024-09-22,Completed,Credit Card,North Africa
16,7743,2024-05-14,Completed,Bank Transfer,North Africa
17,6036,2023-10-05,Returned,Cash,Levant
18,6074,2023-11-02,Completed,PayPal,Levant
19,2805,2023-12-25,Returned,Cash,North Africa
20,2221,2024-02-02,Completed,Cash,Levant
21,3990,2023-06-23,Returned,Unknown,Levant
22,999,2023-06-08,Completed,Cash,Gulf
23,7499,2024-06-27,Completed,Bank Transfer,North Africa
24,722,2024-11-04,Completed,Bank Transfer,Gulf
25,1215,2023-01-08,Completed,Bank Transfer,Levant
26,1694,2023-04-28,Completed,Cash,Levant
27,6975,2024-03-10,Completed,PayPal,North Africa
28,6369,2024-03-04,Completed,Cash,Levant
29,5804,2023-03-01,Completed,Credit Card,Levant
30,3395,2023-04-09,Completed,Bank Transfer,Levant
31,4026,2023-05-30,Completed,Bank Transfer,North Africa
32,3580,2023-09-17,Completed,PayPal,North Africa
33,7716,2024-11-08,Completed,Credit Card,Levant
34,6278,2024-11-27,Completed,Unknown,Levant
35,5157,2024-09-23,Completed,Credit Card,Levant
36,6237,2023-05-23,Cancelled,Credit Card,Gulf
37,6219,2023-06-07,Completed,Unknown,Levant
38,2804,2023-09-05,Cancelled,PayPal,North Africa
39,2231,2024-07-05,Cancelled,Credit Card,Levant
40,4813,2024-05-17,Completed,PayPal,Levant
41,459,2024-02-17,Completed,Unknown,North Africa
42,7867,2024-06-09,Completed,Cash,Gulf
43,1702,2023-11-08,Completed,Credit Card,Levant
44,627,2023-10-31,Completed,Credit Card,North Africa
45,2457,2024-09-06,Completed,Credit Card,Levant
46,207,2023-01-10,Completed,Cash,Levant
47,3317,2023-02-11,Completed,PayPal,Levant
48,1357,2024-02-05,Completed,PayPal,North Africa
49,4769,2024-05-19,Completed,PayPal,Levant
50,3597,2024-10-19,Completed,PayPal,North Africa
51,7462,2024-02-15,Completed,Credit Card,Levant
52,7157,2023-05-08,Completed,Bank Transfer,North Africa
53,6074,2024-03-25,Completed,Credit Card,Gulf
54,1940,2023-08-30,Cancelled,Bank Transfer,Levant
55,2796,2023-03-22,Completed,Cash,North Africa
56,4369,2023-07-11,Completed,Cash,Levant
57,6523,2023-08-06,Returned,PayPal,North Africa
58,2674,2023-10-20,Completed,Bank Transfer,North Africa
59,6808,2023-04-08,Completed,PayPal,North Africa
60,1050,2024-11-20,Completed,PayPal,Gulf
61,6824,2023-01-03,Cancelled,Credit Card,Gulf
62,2592,2023-05-20,Completed,Bank Transfer,Levant
63,6877,2023-01-02,Completed,Bank Transfer,North Africa
64,3790,2024-10-25,Cancelled,PayPal,Levant
65,4005,2023-06-14,Completed,Credit Card,Gulf
66,5974,2024-05-13,Returned,PayPal,Levant
67,7778,2024-10-22,Completed,Credit Card,Gulf
68,91,2024-06-02,Completed,PayPal,Gulf
69,476,2024-10-16,Completed,PayPal,Levant
70,2047,2023-07-12,Completed,Cash,North Africa
71,4822,2024-04-16,Completed,Credit Card,North Africa
72,5308,2024-11-25,Completed,PayPal,North Africa
73,7737,2023-06-20,Completed,Cash,Gulf
74,3691,2024-09-22,Completed,Unknown,Levant
75,4026,2024-10-30,Returned,Unknown,North Africa
76,3267,2024-09-15,Completed,PayPal,Gulf
77,4630,2024-11-28,Completed,Bank Transfer,North Africa
78,2746,2023-05-30,Completed,Bank Transfer,Gulf
79,7024,2023-08-19,Completed,Bank Transfer,Levant
80,85,2023-02-15,Completed,Cash,Gulf
81,2640,2023-11-29,Completed,Bank Transfer,Gulf
82,4937,2024-01-28,Returned,Cash,Levant
83,77,2024-05-31,Completed,PayPal,Levant
84,6474,2024-04-04,Completed,Bank Transfer,Levant
85,2431,2023-10-12,Completed,Cash,Gulf
86,3505,2023-04-19,Completed,Cash,Levant
87,2425,2024-05-05,Completed,PayPal,Gulf
88,6485,2023-03-14,Completed,Cash,North Africa
89,5297,2023-01-30,Completed,Cash,North Africa
90,7594,2024-09-20,Completed,PayPal,Levant
91,6568,2024-02-13,Completed,PayPal,Gulf
92,6087,2024-08-22,Completed,Credit Card,Levant
93,2222,2024-10-26,Completed,Cash,Gulf
94,406,2023-03-12,Completed,Unknown,North Africa
95,2130,2024-06-15,Cancelled,Credit Card,North Africa
96,4117,2023-07-30,Completed,Credit Card,Levant
97,6835,2024-02-03,Completed,Credit Card,North Africa
98,7154,2024-11-12,Completed,Cash,North Africa
99,398,2024-02-28,Cancelled,Bank Transfer,Levant
100,6474,2023-10-18,Cancelled,Bank Transfer,Levant
101,6369,2024-03-24,Cancelled,Bank Transfer,North Africa
102,1801,2024-04-08,Completed,Cash,North Africa
103,3474,2024-09-23,Completed,Credit Card,Levant
104,6925,2024-11-26,Returned,Credit Card,Gulf
105,7931,2024-06-18,Completed,Credit Card,Levant
106,1809,2024-08-19,Completed,PayPal,Levant
107,4990,2024-12-01,Completed,Cash,Levant
108,3927,2024-06-07,Returned,PayPal,Levant
109,1945,2024-11-23,Completed,Cash,Gulf
110,438,2023-05-16,Cancelled,Bank Transfer,North Africa
111,5392,2023-08-25,Completed,Cash,Gulf
112,5400,2023-06-08,Completed,Cash,Levant
113,223,2024-10-18,Completed,Bank Transfer,Levant
114,1611,2023-01-09,Completed,PayPal,Gulf
115,7831,2024-07-14,Completed,Bank Transfer,Gulf
116,1961,2024-03-17,Completed,Cash,North Africa
117,4605,2024-06-28,Completed,PayPal,Gulf
118,7510,2023-08-20,Returned,Credit Card,Gulf
119,4001,2023-12-19,Completed,Bank Transfer,Gulf
120,2665,2024-02-10,Completed,Unknown,Levant
121,1066,2023-07-16,Completed,Credit Card,Levant
122,5296,2023-07-04,Cancelled,Bank Transfer,Levant
123,5365,2023-07-03,Completed,PayPal,North Africa
124,1277,2024-10-28,Completed,Credit Card,North Africa
125,5394,2024-06-28,Completed,Credit Card,North Africa
126,7103,2023-11-08,Completed,Bank Transfer,Levant
127,7502,2023-07-29,Completed,Credit Card,Gulf
128,604,2023-04-12,Completed,Credit Card,North Africa
129,5131,2024-09-16,Completed,Cash,North Africa
130,6296,2024-04-02,Completed,Credit Card,Gulf
131,189,2023-05-14,Completed,Bank Transfer,Gulf
